Symbol,Underlying Asset,SecurityName,DateofListing,MarketLot,ISINNumber,FaceValue,ETF Underlying,Underlying Key
GILT10BETA,UTI Nifty 10 yr Benchmark G-Sec ETF,UTIAMC-GILT10BETA,02-Feb-24,1,INF789F1AZF3,10,DEBT,GSECS/GILT
GILT5BETA,UTI Nifty 5 yr Benchmark G-Sec ETF,UTIAMC-GILT5BETA,02-Feb-24,1,INF789F1AZE6,10,DEBT,GSECS/GILT
HEALTHADD,DSP Nifty Healthcare ETF,DSPAMC-HEALTHADD,07-Feb-24,1,INF740KA1ZG1,1,EQUITY,Nifty Healthcare
HDFCPSUBK,HDFC NIFTY PSU BANK ETF,HDFCAMCHDFCPSUBK,07-Feb-24,1,INF179KC1HW4,62.78,EQUITY,Nifty PSU Bank
LICNMID100,LIC MF Nifty Midcap 100 ETF,LICNAMC-LICNMID100,19-Feb-24,1,INF767K01RN1,10,EQUITY,Nifty Midcap 100
SMALLCAP,Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF,MIRAEAMC-SMALLCAP,29-Feb-24,1,INF769K01LC3,10,EQUITY,Nifty Smallcap 250 Momentum Quality 100
GOLDCASE,Zerodha Gold ETF,ZERODHAAMC-GOLDCASE,01-Mar-24,1,INF0R8F01042,10,COMMODITY,GOLD
MOREALTY,Motilal Oswal Nifty Realty ETF,MOTILALAMC-MOREALTY,21-Mar-24,1,INF247L01CI4,10,EQUITY,Nifty Realty
MOSMALL250,Motilal Oswal Nifty Smallcap 250 ETF,MOTILALAMC-MOSMALL250,21-Mar-24,1,INF247L01CH6,10,EQUITY,Nifty Smallcap 250
LIQUIDADD,DSP S&P BSE Liquid Rate ETF,DSPAMC-LIQUIDADD,03-Apr-24,1,INF740KA1UM0,1000,DEBT,Overnight ETFs and Liquid ETF
ABSLPSE,Aditya Birla Sun Life Nifty PSE ETF,BIRLASLAMC-ABSLPSE,23-May-24,1,INF209KB19Z4,1,EQUITY,Nifty PSE
MIDSMALL,Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF,MIRAEAMC-MIDSMALL,28-May-24,1,INF769K01LJ8,10,EQUITY,Nifty MidSmallcap400 Momentum Quality 100
LIQUIDBETF,Bajaj Finserv Nifty 1D Rate Liquid ETF - Growth,BFAM-LIQUIDBETF,03-Jun-24,1,INF0QA701854,1000,DEBT,Overnight ETFs and Liquid ETF
TOP100CASE,Zerodha Nifty 100 ETF,ZERODHAAMC-TOP100CASE,19-Jun-24,1,INF0R8F01067,10,EQUITY,Nifty 100
MID150CASE,Zerodha Nifty Midcap 150 ETF,ZERODHAAMC-MID150CASE,19-Jun-24,1,INF0R8F01059,10,EQUITY,Nifty Midcap 150
BBNPNBETF,Baroda BNP Paribas NIFTY Bank ETF,BARODABNP - BBNPNBETF,24-Jun-24,1,INF251K01TL6,10,EQUITY,NIFTY Bank
SBISILVER,SBI SILVER ETF,SBIAMC - SBISILVER,08-Jul-24,1,INF200KB1217,10,COMMODITY,SILVER
LIQUIDSHRI,SHRIRAM NIFTY 1D RATE LIQUID ETF,SHRIRAM - LIQUIDSHRI,09-Jul-24,1,INF680P01422,1000,DEBT,Overnight ETFs and Liquid ETF
ABGSEC,Aditya Birla Sun Life CRISIL Broad Based Gilt ETF,BIRLASLAMC - ABGSEC,10-Jul-24,1,INF209KC1134,100,DEBT,GSECS/GILT
EVINDIA,Nifty EV and New Age Automotive Total Return Index,MIRAEAMC - EVINDIA,16-Jul-24,1,INF769K01LQ3,10,EQUITY,Nifty EV and New Age Automotive
SBINEQWETF,Nifty50 Equal Weight,SBIAMC - SBINEQWETF,23-Jul-24,1,INF200KB1282,10,EQUITY,Nifty 50 Equal Weight
OILIETF,Nifty Oil & Gas Index,ICICIPRAMC - OILIETF,24-Jul-24,1,INF109KC18W3,10,EQUITY,Nifty Oil & Gas
GROWWEV,Nifty EV and New Age Automotive Index,GROWWAMC - GROWWEV,12-Aug-24,1,INF666M01IH2,10,EQUITY,Nifty EV and New Age Automotive
GSEC10ABSL,CRISIL 10 Year Gilt ETF,BIRLASLAMC - GSEC10ABSL,19-Aug-24,1,INF209KC1142,100,DEBT,GSECS/GILT
METALIETF,Nifty Metal Index,ICICIPRAMC - METALIETF,20-Aug-24,1,INF109KC19W1,10,EQUITY,Nifty Metal
MODEFENCE,Nifty India Defence Total Return Index,MOTILALAMC - MODEFENCE,27-Aug-24,1,INF247L01DJ0,10,EQUITY,Nifty India Defence
MULTICAP,Nifty500 Multicap 50:25:25 Index,MIRAEAMC - MULTICAP,05-Sep-24,1,INF769K01LX9,10,EQUITY,Nifty 500 Multicap 50:25:25
TOP10ADD,Nifty Top 10 Equal Weight Index,DSPAMC - TOP10ADD,11-Sep-24,1,INF740KA1UR9,10,EQUITY,Nifty Top 10 Equal Weight
EBANKNIFTY,Edelweiss Nifty Bank ETF,EDELAMC - EBANKNIFTY,16-Sep-24,1,INF754K01TE4,10,EQUITY,Nifty Bank
GROWWLIQID,Nifty 1D Rate Index,GROWWAMC - GROWWLIQID,26-Sep-24,1,INF666M01IP5,100,DEBT,Overnight ETFs and Liquid ETF
MOMENTUM50,Nifty 500 Momentum 50 Total Return Index,MOTILALAMC - MOMENTUM50,30-Sep-24,1,INF247L01DK8,10,EQUITY,Nifty 500 Momentum 50
BANKPSU,Nifty PSU Bank Total Return Index,MIRAEAMC - BANKPSU,08-Oct-24,1,INF769K01LZ4,10,EQUITY,Nifty PSU Bank
METAL,Nifty Metal Total Return Index,MIRAEAMC - METAL,09-Oct-24,1,INF769K01LY7,10,EQUITY,Nifty Metal
GROWWDEFNC,Nifty India Defence Index- Total Return Index,GROWWAMC - GROWWDEFNC,11-Oct-24,1,INF666M01IO8,10,EQUITY,Nifty India Defence
VAL30IETF,Nifty200 Value 30 Index,ICICIPRAMC - VAL30IETF,22-Oct-24,1,INF109KC16X5,10,EQUITY,Nifty 200 Value 30
GROWWGOLD,Commodity,GROWWAMC - GROWWGOLD,24-Oct-24,1,INF666M01OE7,10,COMMODITY,GOLD
EMULTIMQ,Nifty500 Multicap Momentum Quality 50 Total Return Index,EDELAMC - EMULTIMQ,07-Nov-24,1,INF754K01TF1,10,EQUITY,Nifty 500 Multicap Momentum Quality 50
LIQUIDPLUS,Nifty 1D Rate Index,MIRAEAMC - LIQUIDPLUS,13-Nov-24,1,INF769K01MY5,1000,DEBT,Overnight ETFs and Liquid ETF
CONSUMER,Nifty India New AgeConsumption,MIRAEAMC - CONSUMER,01-Jan-25,1,INF769K01NS5,10,EQUITY,Nifty India New Age Consumption
ECAPINSURE,BSE Capital Markets & Insurance Total Return Index,EDELAMC - ECAPINSURE,06-Jan-25,1,INF754K01TX4,10,EQUITY,BSE Capital Markets & Insurance
NEXT30ADD,BSE SENSEX Next 30 Index,DSPAMC - NEXT30ADD,05-Feb-25,1,INF740KA1VE5,10,EQUITY,BSE SENSEX Next 30
GROWWRAIL,Nifty India Railways PSU Index,GROWWAMC - GROWWRAIL,07-Feb-25,1,INF666M01JJ6,10,EQUITY,Nifty India Railways PSU
UNIONGOLD,Commodity Gold,UNIONAMC - UNIONGOLD,21-Feb-25,1,INF582M01KS4,1,COMMODITY,GOLD
MSCIINDIA,MSCI India Index,KOTAKMAMC - MSCIINDIA,27-Feb-25,1,INF174KA1VD2,10,EQUITY,MSCI India
GROWWN200,Nifty 200 Index- Total Return Index,GROWWAMC - GROWWN200,28-Feb-25,1,INF666M01JV1,10,EQUITY,Nifty 200
NIFTY100EW,Nifty 100 Equal Weight Index,KOTAKMAMC - NIFTY100EW,04-Mar-25,1,INF174KA1UW4,10,EQUITY,Nifty 100 Equal Weight
AONETOTAL,Nifty Total Market Index,AONEAMC - AONETOTAL,05-Mar-25,1,INF1J2R01015,10,EQUITY,Nifty Total Market
MOCAPITAL,Nifty Capital Market Total Return Index,MOTILALAMC - MOCAPITAL,13-Mar-25,1,INF247L01EV3,10,EQUITY,Nifty Capital Market
GOLD360,Commodity-Gold,360ONEAMC - GOLD360,17-Mar-25,1,INF579M01BB5,10,COMMODITY,GOLD
SELECTIPO,BSE Select IPO Index,MIRAEAMC - SELECTIPO,17-Mar-25,1,INF769K01ON4,10,EQUITY,BSE Select IPO
EQUAL200,BSE 200 Equal Weight,MIRAEAMC - EQUAL200,17-Mar-25,1,INF769K01OA1,10,EQUITY,BSE 200 Equal Weight
CASHIETF,BSE Liquid Rate Index,ICICIPRAMC - CASHIETF,19-Mar-25,1,INF109K1A021,1000,DEBT,Overnight ETFs and Liquid ETF
VALUEAXIS,Nifty500 Value 50 TRI,AXISAMC-VALUEAXIS,20-Mar-25,1,INF846KA1119,10,EQUITY,Nifty 500 Value 50
SILVERCASE,Commodity-Silver,ZERODHAAMC - SILVERCASE,26-Mar-25,1,INF0R8F01091,10,COMMODITY,SILVER
SBIBPB,BSE PSU Bank Index TRI,SBIAMC - SBIBPB,27-Mar-25,1,INF200KB1712,10,EQUITY,BSE PSU Bank
MID150,Nifty Midcap 150 Index,KOTAKMAMC - MID150,28-Mar-25,1,INF174KA1VW2,10,EQUITY,Nifty Midcap 150
AONELIQUID,Nifty 1D Rate Index,AONEAMC - AONELIQUID,28-Mar-25,1,INF1J2R01056,1000,DEBT,Overnight ETFs and Liquid ETF
SILVER360,Commodity-Silver,360ONEAMC - SILVER360,04-Apr-25,1,INF579M01BC3,10,COMMODITY,SILVER
EVIETF,Nifty EV & New Age Automotive ETF,ICICIPRAMC - EVIETF,15-Apr-25,1,INF109K1A153,10,EQUITY,Nifty EV and New Age Automotive
GROWWMOM50,Nifty 500 Momentum 50 Index- Total Return Index,GROWWAMC - GROWWMOM50,24-Apr-25,1,INF666M01KJ4,10,EQUITY,Nifty 500 Momentum 50
MON50EQUAL,Nifty 50 Equal Weight Total Return Index,MOTILALAMC - MON50EQUAL,07-May-25,1,INF247L01FC0,10,EQUITY,NIFTY 50 Equal Weight
MONEXT50,Nifty Next 50 Total Return Index,MOTILALAMC - MONEXT50,14-May-25,1,INF247L01FD8,10,EQUITY,Nifty Next 50
EQUAL50,Nifty50 Equal Weight,MIRAEAMC - EQUAL50,15-May-25,1,INF769K01OO2,10,EQUITY,Nifty 50 Equal Weight
MOINFRA,BSE India Infrastructure Total Return Index,MOTILALAMC - MOINFRA,21-May-25,1,INF247L01FL1,10,EQUITY,BSE India Infrastructure
GROWWSLVR,Commodity-Silver,GROWWAMC - GROWWSLVR,23-May-25,1,INF666M01OF4,10,COMMODITY,SILVER
AONENIFTY,Nifty 50 Index,AONEAMC - AONENIFTY,28-May-25,1,INF1J2R01064,10,EQUITY,Nifty 50
MOMGF,Nifty India Manufacturing Total Return Index,MOTILALAMC - MOMGF,28-May-25,1,INF247L01FK3,10,EQUITY,Nifty India Manufacturing
MOPSE,Nifty PSE Total Return Index,MOTILALAMC - MOPSE,05-Jun-25,1,INF247L01FO5,10,EQUITY,Nifty PSE
MOTOUR,Nifty India Tourism Total Return Index,MOTILALAMC - MOTOUR,12-Jun-25,1,INF247L01FP2,10,EQUITY,Nifty India Tourism
SNXT30BEES,BSE Sensex Next 30 Index,NIPPONAMC - SNXT30BEES,13-Jun-25,1,INF204KC1EZ3,10,EQUITY,BSE Sensex Next 30
GROWWLOVOL,Nifty 500 Low Volatility 50 Index   TRI,GROWWAMC - GROWWLOVOL,17-Jun-25,1,INF666M01LB9,10,EQUITY,Nifty 500 Low Volatility 50
TOP15IETF,Nifty Top 15 Equal Weight Index,ICICIPRAMC - TOP15IETF,02-Jul-25,1,INF109K1A344,10,EQUITY,Nifty Top 15 Equal Weight
MOMIDMTM,Nifty Midcap 150 Momentum 50 Total Return Index,MOTILALAMC - MOMIDMTM,03-Jul-25,1,INF247L01FQ0,10,EQUITY,Nifty Midcap 150 Momentum 50
GROWWNET,Index,GROWWAMC - GROWWNET,03-Jul-25,1,INF666M01LI4,10,EQUITY,Nifty India Internet
INTERNET,Equity Index,MIRAEAMC - INTERNET,08-Jul-25,1,INF769K01PB6,10,EQUITY,Nifty India Internet
MOALPHA50,Nifty Alpha 50 Total Return Index,MOTILALAMC - MOALPHA50,10-Jul-25,1,INF247L01FR8,10,EQUITY,Nifty Alpha 50
QUALITY30,Nifty200 Quality 30 Index,KOTAKMAMC - QUALITY30,18-Jul-25,1,INF174KA1WT6,10,EQUITY,Nifty 200 Quality 30
GROWWNIFTY,Nifty 50 Index - TRI,GROWWAMC - GROWWNIFTY,22-Jul-25,1,INF666M01LL8,10,EQUITY,Nifty 50
LIQGRWBEES,Liquid ,NIPPONAMC - LIQGRWBEES,25-Jul-25,1,INF204KC1FU1,1000,DEBT,Overnight ETFs and Liquid ETF
MOGOLD,Domestic Price of Physical Gold,MOTILALAMC - MOGOLD,30-Jul-25,1,INF247L01FY4,10,COMMODITY,GOLD
GROWWPOWER,BSE Power Index - TRI,GROWWAMC - GROWWPOWER,07-Aug-25,1,INF666M01LM6,10,EQUITY,BSE Power
SBILIQETF,Nifty 1D Rate Index ,SBIAMC - SBILIQETF,13-Aug-25,1,INF200KB1969,1000,DEBT,Overnight ETFs and Liquid ETF
MOSILVER,Domestic Price of Physical Silver,MOTILALAMC - MOSILVER,14-Aug-25,1,INF247L01FZ1,10,COMMODITY,SILVER
LTGILTCASE,Nifty 8-13 Yr G-Sec Index,ZERODHAAMC - LTGILTCASE,20-Aug-25,1,INF0R8F01133,10,DEBT,GSECS/GILT
GROWWNXT50,Index,GROWWAMC - GROWWNXT50,26-Aug-25,1,INF666M01LZ8,10,EQUITY,Nifty Next 50
MANUFGBEES,Nifty India Manufacturing TRI,NIPPONAMC - MANUFGBEES,29-Aug-25,1,INF204KC1GH6,10,EQUITY,Nifty India Manufacturing
ELM250,Nifty LargeMidcap 250 TRI,EDELAMC - ELM250,09-Sep-25,1,INF754K01VV4,10,EQUITY,Nifty LargeMidcap 250
AONEGOLD,Domestic price of Gold,AONEAMC - AONEGOLD,10-Sep-25,1,INF1J2R01114,10,COMMODITY,GOLD
SML100CASE,Nifty Smallcap 100 Index,ZERODHAAMC - SML100CASE,12-Sep-25,1,INF0R8F01141,10,EQUITY,Nifty Smallcap100
GROWWRLTY,Index,GROWWAMC - GROWWRLTY,09-Oct-25,1,INF666M01MN2,10,EQUITY,Nifty Realty
ELIQUID,Nifty 1D Rate Index (Debt Index),EDELAMC - ELIQUID,10-Oct-25,1,INF754K01VW2,1000,DEBT,Overnight ETFs and Liquid ETF
FLEXIADD,Nifty500 Flexicap Quality 30 TRI,DSPAMC - FLEXIADD,16-Oct-25,1,INF740KA1WU9,10,EQUITY,Nifty 500 Flexicap Quality 30
MONIFTY100,Nifty 100 Total Return Index,MOTILALAMC - MONIFTY100,16-Oct-25,1,INF247L01GG9,10,EQUITY,Nifty 100
MOENERGY,Nifty Energy Index,MOTILALAMC - MOENERGY,16-Oct-25,1,INF247L01GH7,10,EQUITY,Nifty Energy
MOMENTUM30,Nifty 200 Momentum 30 Index,KOTAKMAMC - MOMENTUM30,17-Oct-25,1,INF174KA1XS6,10,EQUITY,Nifty 200 Momentum 30
NIFTYCASE,Nifty Index 50 Index,ZERODHAAMC - NIFTYCASE,20-Oct-25,1,INF0R8F01166,10,EQUITY,Nifty 50
GROWWSC250,Nifty Smallcap 250 Index - TRI,GROWWAMC - GROWWSC250,30-Oct-25,1,INF666M01MO0,10,EQUITY,Nifty Smallcap 250
CHOICEGOLD,Gold,ChoiceAMC - CHOICEGOLD,10-Nov-25,1,INF2KCX01012,100,COMMODITY,GOLD
ENERGY,Nifty Energy,MIRAEAMC - ENERGY,13-Nov-25,1,INF769K01PR2,10,EQUITY,Nifty Energy
SMALL250,Nifty Smallcap 250,MIRAEAMC - SMALL250,13-Nov-25,1,INF769K01PQ4,10,EQUITY,Nifty Smallcap 250
GROWWMC150,Nifty Midcap 150 Index - TRI,GROWWAMC - GROWWMC150,17-Nov-25,1,INF666M01MV5,10,EQUITY,Nifty Midcap 150
CHEMICAL,Nifty Chemicals Index (TRI),KOTAKMAMC - CHEMICAL,19-Nov-25,1,INF174KA1XV0,10,EQUITY,Nifty Chemicals
MOIPO,BSE Select IPO Total Return Index,MOTILALAMC - MOIPO,20-Nov-25,1,INF247L01GI5,10,EQUITY,BSE Select IPO
AONETMMQ50,Nifty Total Market Momentum Quality 50 TRI,AONEAMC - AONETMMQ50,27-Nov-25,1,INF1J2R01148,10,EQUITY,Nifty Total Market Momentum Quality 50
ESENSEX,BSE Sensex TRI,EDELAMC - ESENSEX,27-Nov-25,1,INF754K01VY8,10,EQUITY,BSE Sensex
ENIFTY,Nifty 50 TRI,EDELAMC - ENIFTY,27-Nov-25,1,INF754K01VX0,10,EQUITY,Nifty 50
MOSERVICE,Nifty Services Sector Total Return Index,MOTILALAMC - MOSERVICE,27-Nov-25,1,INF247L01GJ3,10,EQUITY,Nifty Services Sector
MSCIADD,MSCI India Index,DSPAMC - MSCIADD,01-Dec-25,1,INF740KA1WV7,10,EQUITY,MSCI India
MOMNC,Nifty MNC ETF Total Return Index,MOTILALAMC - MOMNC,03-Dec-25,1,INF247L01GK1,10,EQUITY,Nifty MNC ETF
GROWWCAPM,Nifty Capital Markets Index ,GROWWAMC - GROWWCAPM,04-Dec-25,1,INF666M01MM4,10,EQUITY,Nifty Capital Market
GOLDBND,Commodity - Gold,BANDHANAMC - GOLDBND,12-Dec-25,1,INF194KB1KJ7,10,COMMODITY,GOLD
SILVERBND,Commodity - Silver,BANDHANAMC - SILVERBND,12-Dec-25,1,INF194KB1KI9,10,COMMODITY,SILVER
SMALLADD,Nifty Smallcap 250 Index,DSPAMC - SMALLADD,18-Dec-25,1,INF740KA1WX3,10,EQUITY,Nifty Smallcap 250
MIDCAPADD,Nifty Midcap 150 Index,DSPAMC - MIDCAPADD,18-Dec-25,1,INF740KA1WW5,10,EQUITY,Nifty Midcap 150
DIVIDEND,BSE 500 Dividend Leaders,MIRAEAMC - DIVIDEND,19-Dec-25,1,INF769K01PY8,10,EQUITY,BSE 500 Dividend Leaders 50
TOP20,Nifty Top 20 Equal Weight,MIRAEAMC - TOP20,19-Dec-25,1,INF769K01PZ5,10,EQUITY,Nifty Top 20 Equal Weight
GROWWMETAL,Nifty Metal Index,GROWWAMC - GROWWMETAL,23-Dec-25,1,INF666M01NI0,10,EQUITY,Nifty Metal
TWCGOLDETF,Commodity,WEALTH - TWCGOLDETF,02-Jan-26,1,INF2F0001370,10,COMMODITY,GOLD
NEXT50ADD,Nifty Next 50 TRI,DSPAMC - NEXT50ADD,09-Jan-26,1,INF740KA1XU7,10,EQUITY,Nifty Next 50
NEXT50ETF,Nifty Next 50 Index,KOTAKMAMC - NEXT50ETF,14-Jan-26,1,INF174KA1YO3,10,EQUITY,Nifty Next 50
GROWWCHEM,Nifty Chemicals Index - TRI,GROWWAMC - GROWWCHEM,16-Jan-26,1,INF666M01NP5,10,EQUITY,Nifty Chemicals
GROWWPSE,Nifty PSE Index - TRI,GROWWAMC - GROWWPSE,11-Feb-26,1,INF666M01NQ3,10,EQUITY,Nifty PSE
HEALTHCARE,Nifty 500 Healthcare Index,MIRAEAMC - HEALTHCARE,16-Feb-26,1,INF769K01QA6,10,EQUITY,Nifty 500 Healthcare
INFRA,Nifty India Infrastructure & Logistics,MIRAEAMC - INFRA,18-Feb-26,1,INF769K01QB4,10,EQUITY,Nifty India Infrastructure & Logistics
DEFENCE,BSE India Defence,MIRAEAMC - DEFENCE,19-Feb-26,1,INF769K01QC2,10,EQUITY,BSE India Defence
ABSLMSCIN,MSCI India Index,BIRLASLAMC - ABSLMSCIN,20-Feb-26,1,INF209KC1662,10,EQUITY,MSCI India
AONESILVER,Domestic price of Silver,AONEAMC - AONESILVER,02-Mar-26,1,INF1J2R01171,10,COMMODITY,SILVER
ABSL10BANK,BSE Top 10 Banks Index,BIRLASLAMC - ABSL10BANK,04-Mar-26,1,INF209KC1670,10,EQUITY,BSE Top 10 Banks
GROWWHOSPI,BSE Hospitals Index,GROWWAMC - GROWWHOSPI,05-Mar-26,1,INF666M01OD9,10,EQUITY,BSE Hospitals
SBIMIDMOM,Nifty Midcap 150 Momentum 50 Index,SBIAMC - SBIMIDMOM,06-Mar-26,1,INF200KB1AJ0,10,EQUITY,Nifty Midcap 150 Momentum 50
BANK10ADD,BSE Top 10 Banks Index (TRI),DSPAMC - BANK10ADD,12-Mar-26,1,INF740KA1YH2,10,EQUITY,BSE Top 10 Banks
HSBCGOLD,Commodity,HSBCAMC - HSBCGOLD,27-Mar-26,1,INF336L01RX2,10,COMMODITY,GOLD
GROWWPSUBK,Nifty PSU Bank Index - TRI,GROWWAMC - GROWWPSUBK,27-Mar-26,1,INF666M01OG2,10,EQUITY,Nifty PSU Bank
VALUE,Nifty 500 Value 50,MIRAEAMC - VALUE,27-Mar-26,1,INF769K01QV2,10,EQUITY,Nifty 500 Value 50
SBINMID150,Nifty Midcap 150 Index,SBIAMC - SBINMID150,06-Apr-26,1,INF200KB1AK8,10,EQUITY,Nifty Midcap 150
MOBANK10,BSE Top 10 Banks Total Return Index,MOTILALAMC - MOBANK10,10-Apr-26,1,INF247L01GV8,10,EQUITY,BSE Top 10 Banks
FMCGADD,Nifty FMCG Index (TRI),DSPAMC - FMCGADD,22-May-26,1,INF740KA1ZA4,10,EQUITY,Nifty FMCG
ENEXT50,Nifty Next 50 Total Return Index,EDELAMC - ENEXT50,25-May-26,1,INF754K01XF3,10,EQUITY,Nifty Next 50
SBISMLETF,Nifty Smallcap 250 Index,SBIAMC - SBISMLETF,25-May-26,1,INF200KB1AY9,10,EQUITY,Nifty Smallcap 250
SBIVALETF,Nifty200 Value 30 Index,SBIAMC - SBIVALETF,25-May-26,1,INF200KB1AX1,10,EQUITY,Nifty 200 Value 30
PVTBKGROWW,Nifty Private Bank Index - TRI,GROWWAMC - PVTBKGROWW,26-May-26,1,INF666M01OT5,10,EQUITY,Nifty Private Bank
MSCI360,MSCI India Index,360ONEAMC - MSCI360,29-May-26,1,INF579M01BP5,10,EQUITY,MSCI India
SMALLGROWW,Nifty Smallcap 250 Momentum Quality 100 Index TRI,GROWWAMC - SMALLGROWW,18-Jun-26,1,INF666M01PG9,10,EQUITY,Nifty Smallcap 250 Momentum Quality 100
SMALLIETF,Nifty Smallcap 250 Index,ICICIPRAMC - SMALLIETF,24-Jun-26,1,INF109K1A476,10,EQUITY,Nifty Smallcap 250
LIQUIDBETA,Nifty 1D Rate Index,UTIAMC - LIQUIDBETA,21-Jul-26,1,INF789F1AG68,1000,DEBT,Overnight ETFs and Liquid ETF
BANK10BETF,Bajaj Finserv BSE Top 10 Banks ETF,BFAM - BANK10BETF,21-Jul-26,1,INF0QA701CI0,10,EQUITY,BSE Top 10 Banks
MOMMIDCAP,BSE Midcap 150 Momentum 30 TRI,MIRAEAMC - MOMMIDCAP,22-Jul-26,1,INF769K01RC0,10,EQUITY,BSE Midcap 150 Momentum 30
PVTBANK,Nifty Private Bank,KOTAKMAMC - PVTBANK,22-Jul-26,1,INF174KA1A94,10,EQUITY,Nifty Private Bank
EMETAL,Nifty Metal Total Return Index,EDELAMC - EMETAL,28-Jul-26,1,INF754K01XG1,10,EQUITY,Nifty Metal
CEMNTGROWW,Nifty Cements Index TRI,GROWWAMC - CEMNTGROWW,28-Jul-26,1,INF666M01PH7,10,EQUITY,Nifty Cements
HDFCNIMEG,Nifty Metal Index TRI,HDFCAMC - HDFCNIMEG,31-Jul-26,1,INF179KC1KT4,124.88,EQUITY,Nifty Metal
HYBRIDETF,Nifty200 Momentum 30 Plus 8-13 yr G-Sec 50:50 Total Return Index,MIRAEAMC - HYBRIDETF,31-Jul-26,1,INF769K01RJ5,10,Hybrid,Equity/Debt
INSUREIETF,BSE Insurance Index,ICICIPRAMC - INSUREIETF,05-Aug-26,1,INF109K1A567,10,EQUITY,BSE Insurance
ELMDIV,Index (BSE LargeMid (60:40) Stable Dividend 50),EDELAMC - ELMDIV,05-Aug-26,1,INF754K01XI7,10,EQUITY,BSE LargeMid (60:40) Stable Dividend 50
EBANK10,BSE Top 10 Bank Total Return Index,EDELAMC - EBANK10,05-Aug-26,1,INF754K01XH9,10,EQUITY,BSE Top 10 Banks
MOOILGAS,Nifty Oil & Gas ETF Total Return Index,MOTILALAMC - MOOILGAS,06-Aug-26,1,INF247L01HH5,10,EQUITY,Nifty Oil & Gas
MOMETAL,Nifty Metal Index,MOTILALAMC - MOMETAL,06-Aug-26,1,INF247L01HG7,10,EQUITY,Nifty Metal
MIDBANKADD,BSE MidSmall Private Banks Index,DSPAMC - MIDBANKADD,07-Aug-26,1,INF740KA1ZH9,10,EQUITY,BSE MidSmall Private Banks
GSEC10ADD,Nifty 10 yr Benchmark G-Sec,DSPAMC - GSEC10ADD,20-Aug-26,1,INF740KA1ZI7,10,DEBT,GSECS/GILT
LARGEMID50,BSE LargeMid (60:40) Stable Dividend 50 TRI (Total Return Index),MIRAEAMC - LARGEMID50,20-Aug-26,1,INF769K01RK3,10,EQUITY,BSE LargeMid (60:40) Stable Dividend 50
NIFTYJBLK,INDEX,JIOBLACKROCKAMC-NIFTYJBLK,20-Aug-26,1,INF22M001184,10,EQUITY,Nifty 50
IVZBANKNF,Nifty Bank TRI,RELIGARAMC - IVZBANKNF,21-Aug-26,1,INF205KA1CB9,10,EQUITY,Nifty Bank
IVZSENSEX,BSE Sensex TRI,RELIGARAMC - IVZSENSEX,21-Aug-26,1,INF205KA1CA1,10,EQUITY,BSE Sensex
SILVER001,Commodity - Silver,Quant_AMC - SILVER001,25-Aug-26,1,INF966L01EI5,10,COMMODITY,SILVER
NIF500BETA,Nifty 500,UTIAMC - NIF500BETA,28-Aug-26,1,INF789F1AG76,10,EQUITY,Nifty 500
ENERGYAXIS,Nifty Energy,AXISAMC - ENERGYAXIS,02-Sep-26,1,INF846KA1598,10,EQUITY,Nifty Energy
